card,segment,abc_revenue
2000200218432,Под угрозой,B
2000200230243,Под угрозой,B
2000200231967,Под угрозой,B
2000200239345,Под угрозой,B
2000200239475,Под угрозой,B
2000200240235,Под угрозой,B
2000200239918,Под угрозой,B
2000200240747,Под угрозой,B
2000200227922,Под угрозой,B
2000200201762,Под угрозой,B
2000200229315,Под угрозой,B
2000200233442,Под угрозой,B
2000200238249,Под угрозой,B
2000200239857,Под угрозой,B
2000200247951,Под угрозой,B
2000200178293,Под угрозой,B
2000200200222,Под угрозой,B
2000200226239,Под угрозой,B
2000200179849,Под угрозой,B
2000200211129,Под угрозой,B
2000200238225,Под угрозой,B
2000200160717,Под угрозой,B
2000200196730,Под угрозой,B
