card,segment,abc_revenue
2000200227632,Потерянные,C
2000200214519,Потерянные,C
2000200184942,Потерянные,C
2000200227786,Потерянные,C
2000200232650,Потерянные,C
2000200171232,Потерянные,C
2000200224297,Потерянные,C
2000200217671,Потерянные,C
2000200161875,Потерянные,C
2000200200703,Потерянные,C
2000200210245,Потерянные,C
2000200204725,Потерянные,C
2000200213734,Потерянные,C
2000200158592,Потерянные,C
2000200187844,Потерянные,C
2000200200956,Потерянные,C
2000200182054,Потерянные,C
2000200222774,Потерянные,C
2000200249313,Потерянные,C
2000200154150,Потерянные,C
2000200154501,Потерянные,C
2000200161226,Потерянные,C
2000200151586,Потерянные,C
2000200184751,Потерянные,C
2000200226963,Потерянные,C
2000200212102,Потерянные,C
2000200199731,Потерянные,C
2000200214311,Потерянные,C
2000200193593,Потерянные,C
2000200167624,Потерянные,C
2000200209072,Потерянные,C
2000200225720,Потерянные,C
2000200171140,Потерянные,C
2000200210375,Потерянные,C
2000200181323,Потерянные,C
2000200210269,Потерянные,C
2000200224761,Потерянные,C
2000200236115,Потерянные,C
2000200169888,Потерянные,C
2000200232254,Потерянные,C
2000200171386,Потерянные,C
2000200187189,Потерянные,C
2000200177135,Потерянные,C
2000200195702,Потерянные,C
2000200175056,Потерянные,C
2000200248712,Потерянные,C
2000200159032,Потерянные,C
2000200223245,Потерянные,C
2000200157151,Потерянные,C
2000200159995,Потерянные,C
2000200155126,Потерянные,C
2000200160311,Потерянные,C
2000200204435,Потерянные,C
2000200229223,Потерянные,C
2000200217343,Потерянные,C
2000200232261,Потерянные,C
2000200175988,Потерянные,C
2000200177166,Потерянные,C
2000200190424,Потерянные,C
2000200194118,Потерянные,C
2000200208495,Потерянные,C
2000200191575,Потерянные,C
2000200222033,Потерянные,C
2000200233428,Потерянные,C
2000200197614,Потерянные,C
2000200161189,Потерянные,C
2000200196914,Потерянные,C
2000200158615,Потерянные,C
2000200189138,Потерянные,C
2000200180586,Потерянные,C
2000200228462,Потерянные,C
2000200190189,Потерянные,C
2000200195184,Потерянные,C
2000200203957,Потерянные,C
2000200233770,Потерянные,C
2000200171676,Потерянные,C
2000200184409,Потерянные,C
2000200236320,Потерянные,C
2000200203520,Потерянные,C
2000200228776,Потерянные,C
2000200221340,Потерянные,C
2000200225805,Потерянные,C
2000200222828,Потерянные,C
2000200229193,Потерянные,C
2000200215684,Потерянные,C
2000200193067,Потерянные,C
2000200171409,Потерянные,C
2000200171539,Потерянные,C
2000200202653,Потерянные,C
2000200160915,Потерянные,C
2000200186847,Потерянные,C
2000200170310,Потерянные,C
2000200175223,Потерянные,C
2000200248699,Потерянные,C
2000200158691,Потерянные,C
2000200214373,Потерянные,C
2000200219583,Потерянные,C
2000200209911,Потерянные,C
2000200210726,Потерянные,C
2000200155171,Потерянные,C
2000200162544,Потерянные,C
