card,segment,abc_revenue
2000200151890,Лояльные,A
2000200246466,Лояльные,A
2000200226536,Лояльные,A
2000200238331,Лояльные,A
2000200221999,Лояльные,A
2000200175933,Лояльные,A
2000200188940,Лояльные,A
2000200198086,Лояльные,A
2000200237334,Лояльные,A
2000200216209,Лояльные,A
2000200193319,Лояльные,A
2000200236610,Лояльные,A
2000200243205,Лояльные,A
2000200187721,Лояльные,A
2000200155911,Лояльные,A
2000200246442,Лояльные,A
2000200152033,Лояльные,A
2000200225676,Лояльные,A
2000200235163,Лояльные,A
2000200177494,Лояльные,A
2000200161684,Лояльные,A
2000200175322,Лояльные,A
2000200221074,Лояльные,A
2000200197126,Лояльные,A
2000200160854,Лояльные,A
2000200173991,Лояльные,A
2000200198758,Лояльные,A
2000200244967,Лояльные,A
2000200245254,Лояльные,A
2000200221029,Лояльные,A
2000200204190,Лояльные,A
2000200245575,Лояльные,A
2000200214861,Лояльные,A
2000200247326,Лояльные,A
2000200227151,Лояльные,A
2000200232162,Лояльные,A
2000200181071,Лояльные,A
2000200230113,Лояльные,A
2000200214618,Лояльные,A
2000200240808,Лояльные,A
2000200191131,Лояльные,A
2000200225669,Лояльные,A
2000200228325,Лояльные,A
2000200251477,Лояльные,A
2000200222903,Лояльные,A
2000200195511,Лояльные,A
2000200207498,Лояльные,A
2000200225928,Лояльные,A
2000200167471,Лояльные,A
2000200155706,Лояльные,A
2000200197645,Лояльные,A
2000200181194,Лояльные,A
2000200221197,Лояльные,A
2000200258223,Лояльные,A
2000200252252,Лояльные,A
2000200227564,Лояльные,A
2000200174493,Лояльные,A
2000200244158,Лояльные,A
2000200152088,Лояльные,A
2000200227748,Лояльные,A
2000200201274,Лояльные,A
2000200179993,Лояльные,A
2000200225140,Лояльные,A
2000200189640,Лояльные,A
2000200160557,Лояльные,A
2000200241812,Лояльные,A
2000200211013,Лояльные,A
2000200239147,Лояльные,A
2000200176862,Лояльные,A
2000200242703,Лояльные,A
2000200175759,Лояльные,A
2000200188810,Лояльные,A
2000200178095,Лояльные,A
2000200239031,Лояльные,A
2000200208457,Лояльные,A
2000200158639,Лояльные,A
2000200165477,Лояльные,A
2000200212904,Лояльные,A
2000200199168,Лояльные,A
2000200235170,Лояльные,A
2000200247784,Лояльные,A
2000200222897,Лояльные,A
2000200238089,Лояльные,A
2000200155515,Лояльные,A
2000200245230,Лояльные,A
2000200236573,Лояльные,A
2000200239864,Лояльные,A
2000200214946,Лояльные,A
2000200241140,Лояльные,A
2000200216346,Лояльные,A
2000200245384,Лояльные,A
2000200156499,Лояльные,A
2000200171829,Лояльные,A
2000200161325,Лояльные,A
2000200232759,Лояльные,A
2000200182139,Лояльные,A
2000200223146,Лояльные,A
2000200197027,Лояльные,A
2000200191377,Лояльные,A
2000200169253,Лояльные,A
2000200196068,Лояльные,A
2000200198611,Лояльные,A
2000200163268,Лояльные,A
2000200222514,Лояльные,A
2000200213598,Лояльные,A
2000200237747,Лояльные,A
2000200201427,Лояльные,A
2000200225850,Лояльные,A
2000200222170,Лояльные,A
2000200222415,Лояльные,A
2000200241843,Лояльные,A
2000200233763,Лояльные,A
2000200211143,Лояльные,A
2000200222217,Лояльные,A
2000200235026,Лояльные,A
2000200212034,Лояльные,A
2000200225959,Лояльные,A
2000200227663,Лояльные,A
2000200252344,Лояльные,A
2000200225454,Лояльные,A
2000200192060,Лояльные,A
2000200198345,Лояльные,A
2000200170907,Лояльные,A
2000200189701,Лояльные,A
2000200248125,Лояльные,A
2000200222910,Лояльные,A
2000200209515,Лояльные,A
2000200204879,Лояльные,A
2000200222019,Лояльные,A
2000200184737,Лояльные,A
2000200231929,Лояльные,A
2000200163107,Лояльные,A
2000200251552,Лояльные,A
2000200246046,Лояльные,A
2000200171621,Лояльные,A
2000200204701,Лояльные,A
2000200237365,Лояльные,A
2000200258872,Лояльные,A
2000200184904,Лояльные,A
2000200194019,Лояльные,A
2000200187028,Лояльные,A
2000200234418,Лояльные,A
2000200191797,Лояльные,A
2000200244578,Лояльные,A
2000200159919,Лояльные,A
2000200161646,Лояльные,A
2000200247876,Лояльные,A
2000200197058,Лояльные,A
2000200157465,Лояльные,A
2000200210665,Лояльные,A
2000200152729,Лояльные,A
2000200193524,Лояльные,A
2000200241546,Лояльные,A
2000200240204,Лояльные,A
2000200191681,Лояльные,A
2000200237273,Лояльные,A
2000200159001,Лояльные,A
2000200235255,Лояльные,A
2000200233060,Лояльные,A
2000200245032,Лояльные,A
2000200171799,Лояльные,A
2000200245018,Лояльные,A
2000200233572,Лояльные,A
2000200245377,Лояльные,A
2000200157847,Лояльные,A
2000200200055,Лояльные,A
2000200218180,Лояльные,A
2000200234432,Лояльные,A
2000200190448,Лояльные,A
2000200200840,Лояльные,A
2000200244530,Лояльные,A
2000200225737,Лояльные,A
2000200258193,Лояльные,A
2000200245216,Лояльные,A
2000200193760,Лояльные,A
2000200258346,Лояльные,A
2000200202363,Лояльные,A
2000200234401,Лояльные,A
2000200203032,Лояльные,A
2000200172048,Лояльные,A
2000200181101,Лояльные,A
2000200229766,Лояльные,A
2000200203476,Лояльные,A
2000200189022,Лояльные,A
2000200176817,Лояльные,A
2000200239376,Лояльные,A
2000200194903,Лояльные,A
2000200237822,Лояльные,A
2000200240495,Лояльные,A
2000200243533,Лояльные,A
2000200199564,Лояльные,A
2000200180678,Лояльные,A
2000200216674,Лояльные,A
2000200150893,Лояльные,A
2000200208969,Лояльные,A
2000200155775,Лояльные,A
2000200180760,Лояльные,A
2000200217251,Лояльные,A
2000200223917,Лояльные,A
2000200236436,Лояльные,A
2000200232155,Лояльные,A
2000200244332,Лояльные,A
2000200214908,Лояльные,A
2000200217190,Лояльные,A
2000200212263,Лояльные,A
2000200219996,Лояльные,A
2000200153924,Лояльные,A
2000200244585,Лояльные,A
2000200196945,Лояльные,A
2000200174882,Лояльные,A
2000200221814,Лояльные,A
2000200170266,Лояльные,A
2000200159896,Лояльные,A
2000200191988,Лояльные,A
2000200248651,Лояльные,A
2000200240501,Лояльные,A
2000200150787,Лояльные,A
2000200205241,Лояльные,A
2000200191018,Лояльные,A
2000200211860,Лояльные,A
